RefsPieces,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
G0534463010611_NH4E,'TOD1-H00-901', 'FCA1-610-001', 'FCA1-250-100', '2CC1-F00-003', '2CC1-F00-001', 'FCA1-650-000', 'FCA1-780-000', 'ACW1-800-004', '2CC1-E00-014', '2CC1-B00-009', '2CC1-B00-038',,,,,,,,,,,,,,,,,
V5391250320000_NH4E,'TOD1-H00-901', 'FCA1-990-001', '2CC1-E00-090', 'FAL1-C00-001', 'FCA1-850-012', '2CC1-B00-009', '2CC1-E00-014',,,,,,,,,,,,,,,,,,,,,
V53311786210-21100_NH4E,'TOD1-H00-901', '2CC1-B00-009', '2CO1-D00-009', 'FCA1-850-012', 'FAL1-C00-001', '2CC1-E00-014', '2CC1-E00-001', '2CC1-400-047', '2CC1-D00-004', '2CC1-800-007', 'FCA1-410-001', '2CC1-B00-047',,,,,,,,,,,,,,,,
D53133160200-20140_NH4E,'TOD1-H00-010', '2CC1-B00-555', '2CC1-800-049', '2CC1-A00-003', 'FCA1-320-000', '2CC1-E00-014',,,,,,,,,,,,,,,,,,,,,,
G05343574103-10401_NH4E,'TOD1-H00-009', 'FAL1-C00-001', 'FCA1-650-000', '2CC1-E00-014', 'FCA1-330-000', 'FCA1-250-001', 'FCA1-610-001', '2CC1-F00-003', '2CC1-B00-003', '2CC1-B00-005', 'FCA1-600-002',,,,,,,,,,,,,,,,,
D53931510200-20100_NH4E,'TOD1-H00-901', '2CC1-D00-002', 'FCA1-650-000', 'FCA1-980-000', 'ACW1-A00-004', '2CC1-E00-014', 'FCA1-320-002', '2CC1-800-001',,,,,,,,,,,,,,,,,,,,
F5311177220000_NH4E,'TOD1-H00-901', 'FCA1-650-000', '2CC1-D00-004', '2CC1-D00-008', '2CC1-B00-008', 'FCA1-250-001', 'FCA1-320-000', '2CC1-B00-005', '2CC1-800-503',,,,,,,,,,,,,,,,,,,
D5392914320000_NH4E,'TOD1-H00-901', '2CC1-800-003', '2CC1-D00-002', '2CC1-D00-001', 'FCA1-250-001',,,,,,,,,,,,,,,,,,,,,,,
D5311375320000_NH4E,'TOD1-H00-901', 'FCA1-850-012', '2CC1-400-047', '2CC1-B00-006', '2CC1-B00-005', '2CC1-400-030', '2CC1-D00-002', 'FCA1-330-003',,,,,,,,,,,,,,,,,,,,
D5323053220041_NH4E,'TOD1-H00-901', '2CC1-D00-002', 'FCA1-320-000', 'FCA1-250-001', '2CC1-D00-512', '2CC1-D00-201', '2CC1-500-040', '2CC1-D00-005',,,,,,,,,,,,,,,,,,,,
G05349743101-10201_NH4E,'TOD1-H00-901', '2CC1-D00-006', 'FCA1-650-000', 'FCA1-780-000', 'ACW1-800-004', 'FCA1-330-003', '2CC1-E00-014', '2CC1-800-401', '2CC1-A00-002', 'FCA1-560-000', 'FCA1-250-100', '2CC1-B00-009',,,,,,,,,,,,,,,,
D53111151200-20101_NH4E,'TOD1-H00-901', '2CC1-E00-004', 'FCA1-410-000', '2CC1-D00-001', '2CC1-E00-008', '2CC1-E00-005', '2CC1-B00-005', 'FCA1-320-002', '2CC1-800-049',,,,,,,,,,,,,,,,,,,
D52810024200-20104_NH4E,'TOD1-H00-009', '2CC1-D00-008', 'FCA1-320-002', '2CC1-B00-009',,,,,,,,,,,,,,,,,,,,,,,,
D53110935200-20103_NH4E,'TOD1-H00-901', '2CC1-E00-008', '2CC1-D00-004', '2CC1-D00-009', '2CC1-800-401',,,,,,,,,,,,,,,,,,,,,,,
M2512204020000_NH4E,'TOD1-H00-009', '2CC1-E00-001', 'FAL1-C00-001', 'FCA1-650-000', 'FCA1-550-004', 'FCA1-320-004', 'FCA1-250-001', '2CC1-B00-015', '2CC1-800-041', '2CC1-800-007', '2CC1-A00-005', '2CC1-600-001', '2CC1-E00-014', 'FAP1-600-006',,,,,,,,,,,,,,
G05342312105-10601_NH4E,'TOD1-H00-901', 'FCA1-610-001', 'FCA1-250-100', '2CC1-F00-003', '2CC1-F00-001', 'FCA1-650-000', 'FCA1-780-000', 'ACW1-800-004', '2CC1-E00-014', '2CC1-B00-009', '2CC1-B00-038',,,,,,,,,,,,,,,,,
V5391195820000_NH4E,'2CC1-F00-001', 'FCA1-650-000', 'FCA1-780-000', 'ACW1-800-004', '2CC1-E00-014', 'FCA1-250-100', 'FCA1-510-002', '2CC1-800-005', '2CC1-800-004',,,,,,,,,,,,,,,,,,,
V53127632200-20100_NH4E,'TOD1-H00-901', '2CC1-D00-008', 'FAL1-C00-001', 'FCA1-650-000', 'FAP1-800-001', 'FCA1-330-003', '2CC1-E00-014', '2CC1-F00-002', '2CC1-B00-009', '2CC1-B00-402', '2CC1-D00-009', 'FCA1-410-001', '2CC1-B00-028',,,,,,,,,,,,,,,
F5312657120000_NH4E,'TOD1-H00-901', 'FCA1-320-000', '2CC1-D00-008', '2CC1-B00-009',,,,,,,,,,,,,,,,,,,,,,,,
V5332457602100_NH4E,'TOD1-H00-901', 'FCA1-B80-000', 'FCA1-A50-007', 'AHS1-C00-002', '2CC1-E00-005', '2CC1-E00-007', '2CC1-B00-003', 'FCA1-370-000', '2CC1-B00-005', 'FCA1-D00-002', 'AEX1-G66-004', '2CH1-D00-001',,,,,,,,,,,,,,,,
V5311676220001_NH4E,'TOD1-H00-901', '2CC1-E00-008', '2CC1-B00-009', '2CC1-A00-005', '2CC1-800-003', '2CC1-600-001', 'FCA1-500-000', 'FCA1-330-003', 'FCA1-240-001', 'FAP1-800-001', 'FCA1-460-000', 'ACW1-483-001',,,,,,,,,,,,,,,,
V57911503000-00100_NH4E,'TOD1-H00-009', '2CC1-B00-001', 'FCA1-D00-002', 'AEX1-023-011', '2CO1-B00-902', '2CC1-D00-031', '2CC1-D00-001', '2CC1-D00-038', 'FCA1-A30-000',,,,,,,,,,,,,,,,,,,
V5392805320000_NH4E,'TOD1-H00-901', 'FCA1-850-012', '2CC1-D00-007', '2CC1-B00-042', '2CH1-D00-001', '2CC1-B00-511', 'FCA1-330-004', 'FCA1-360-002', 'FCA1-D00-002', 'AEX1-G66-004',,,,,,,,,,,,,,,,,,
D53111139200-20101_NH4E,'2CC1-D00-008', '2CC1-B00-005', 'FCA1-320-000', 'FCA1-620-000', 'FCA1-460-000', 'FCA1-610-001', 'ACW1-635-002', 'ACW1-480-001', '2CO1-D00-009', '2CC1-E00-007', '2CC1-800-009',,,,,,,,,,,,,,,,,
E5323332120000_NH4E,'TOD1-H00-009', 'FCA1-320-000', 'FCA1-570-003', '2CC1-B00-012', '2CC1-B00-009',,,,,,,,,,,,,,,,,,,,,,,
V5391053720000_NH4E,'2CC1-F00-002', 'FCA1-250-002', 'FCA1-500-000', '2CC1-800-044',,,,,,,,,,,,,,,,,,,,,,,,
V53323578202-20300_NH4E,'TOD1-H00-901', '2CC1-E00-011', 'FCA1-490-000', 'ACW1-505-001', 'FCA1-340-000', 'ACW1-360-003', '2CC1-B00-052', '2CC1-B00-054', 'FCA1-250-001', '2CO1-A00-003', '2CC1-A00-018', '2CC1-800-401',,,,,,,,,,,,,,,,
V5311180820000_NH4E,'TOD1-H00-901', '2CC1-D00-004', 'FCA1-410-000', '2CC1-B00-005', '2CC1-800-003', '2CC1-E00-014',,,,,,,,,,,,,,,,,,,,,,
D5313548420040_NH4E,'TOD1-H00-901', '2CC1-B00-005', '2CC1-D00-001', 'FCA1-850-012', 'FAL1-C00-001', '2CC1-E00-014', '2CC1-B00-008', '2CC1-D00-004', 'FCA1-320-000',,,,,,,,,,,,,,,,,,,
G0534693710310_NH4E,'2CC1-E00-015', 'FCA1-330-000', 'FCA1-250-001', 'FCA1-560-000', '2CC1-B00-048', '2CC1-B00-009', '2CC1-B00-555', '2CC1-F00-001',,,,,,,,,,,,,,,,,,,,
D53133037200-20101_NH4E,'TOD1-H00-901', '2CC1-E00-004', '2CC1-800-049', 'FCA1-320-002', 'FCA1-410-000', '2CC1-B00-001', '2CC1-800-009',,,,,,,,,,,,,,,,,,,,,
G0534700410501-10_NH4E,'2CC1-F00-003', 'FCA1-330-000', '2CC1-D00-039', '2CC1-B00-051', '2CC1-B00-080', '2CC1-B00-599',,,,,,,,,,,,,,,,,,,,,,
V5312686820000_NH4E,'TOD1-H00-901', '2CC1-D00-005', '2CC1-B00-012', 'FAP1-800-019', 'FCA1-330-003', '2CC1-E00-022',,,,,,,,,,,,,,,,,,,,,,
D5311854620010_NH4E,'TOD1-H00-901', '2CC1-E00-005', 'FAP1-800-001', 'FCA1-330-003', '2CC1-B00-005', '2CC1-D00-537', '2CC1-E00-002',,,,,,,,,,,,,,,,,,,,,
M2512267520000_NH4E,'TOD1-H00-901', 'FAL1-C00-001', 'FCA1-650-000', '2CC1-E00-002', 'FCA1-320-000', 'FCA1-250-100', '2CC1-E00-014', '2CC1-800-041', '2CC1-800-401', '2CC1-B00-005', '2CC1-400-808',,,,,,,,,,,,,,,,,
V9242136520000_NH4E,'TOD1-H00-009', 'FCA1-250-001', 'FCA1-D00-002', '2CC1-B00-005', 'AEX1-G66-004', '2CH1-D00-001', '2CC1-D00-012', '2CC1-B00-054',,,,,,,,,,,,,,,,,,,,
D5391882420040_NH4E,'TOD1-H00-901', '2CC1-A00-001', 'FCA1-850-012', 'FCA1-320-000', 'FCA1-980-000', 'ACW1-A00-004', '2CC1-D00-004', '2CO1-A00-002', '3PQ1-M00-007', '2CC1-400-047', '2CC1-800-003', 'FCA1-750-000', '2CC1-600-055', 'ACW1-791-001', '2CH1-680-002', '2CC1-B00-004', '2CC1-E00-014',,,,,,,,,,,
V5791085120000_NH4E,'TOD1-H00-901', '2CC1-E00-004', 'FCA1-720-000', '2CC1-E00-014', 'FCA1-650-007', 'FAL1-C00-001', '2CC1-D00-008', '2CC1-800-003', '2CC1-B00-009', 'FCA1-800-000',,,,,,,,,,,,,,,,,,
V53918284200-20100_NH4E,'TOD1-H00-901', 'FCA1-650-000', 'FCA1-850-012', 'FCA1-B80-000', 'AHS1-C00-002', '2CC1-D00-002', 'FCA1-430-000', 'FCA1-250-001', 'FCA1-500-000', '2CC1-B00-004', '2CC1-B00-005',,,,,,,,,,,,,,,,,
F5312396020002-03-05-06-07_NH4E,'2CC1-E00-004', 'FCA1-410-000', '2CC1-B00-555',,,,,,,,,,,,,,,,,,,,,,,,,
